CustomerKey,Nombre,Apellido,NombreCompleto,Genero,Email,Primera Fecha De Compra,Ciudad
11000,Jon,Yang,Jon Yang,Masculine,jon24@adventure-works.com,2021-01-19,Rockhampton
11001,Eugene,Huang,Eugene Huang,Masculine,eugene10@adventure-works.com,2021-01-15,Seaford
11002,Ruben,Torres,Ruben Torres,Masculine,ruben35@adventure-works.com,2021-01-07,Hobart
11003,Christy,Zhu,Christy Zhu,Female,christy12@adventure-works.com,2020-12-29,North Ryde
11004,Elizabeth,Johnson,Elizabeth Johnson,Female,elizabeth5@adventure-works.com,2021-01-23,Wollongong
11005,Julio,Ruiz,Julio Ruiz,Masculine,julio1@adventure-works.com,2020-12-30,East Brisbane
11006,Janet,Alvarez,Janet Alvarez,Female,janet9@adventure-works.com,2021-01-24,Matraville
11007,Marco,Mehta,Marco Mehta,Masculine,marco14@adventure-works.com,2021-01-09,Warrnambool
11008,Rob,Verhoff,Rob Verhoff,Female,rob4@adventure-works.com,2021-01-25,Bendigo
11009,Shannon,Carlson,Shannon Carlson,Masculine,shannon38@adventure-works.com,2021-01-27,Hervey Bay
11010,Jacquelyn,Suarez,Jacquelyn Suarez,Female,jacquelyn20@adventure-works.com,2021-01-14,East Brisbane
11011,Curtis,Lu,Curtis Lu,Masculine,curtis9@adventure-works.com,2020-12-30,East Brisbane
11012,Lauren,Walker,Lauren Walker,Female,lauren41@adventure-works.com,2023-03-16,Bremerton
11013,Ian,Jenkins,Ian Jenkins,Masculine,ian47@adventure-works.com,2023-04-13,Lebanon
11014,Sydney,Bennett,Sydney Bennett,Female,sydney23@adventure-works.com,2023-03-23,Redmond
11015,Chloe,Young,Chloe Young,Female,chloe23@adventure-works.com,2023-01-18,Burbank
11016,Wyatt,Hill,Wyatt Hill,Masculine,wyatt32@adventure-works.com,2023-02-09,Imperial Beach
11017,Shannon,Wang,Shannon Wang,Female,shannon1@adventure-works.com,2021-01-12,Sunbury
11018,Clarence,Rai,Clarence Rai,Masculine,clarence32@adventure-works.com,2021-01-17,Bendigo
11019,Luke,Lal,Luke Lal,Masculine,luke18@adventure-works.com,2023-02-12,Langley
11020,Jordan,King,Jordan King,Masculine,jordan73@adventure-works.com,2022-12-29,Metchosin
11021,Destiny,Wilson,Destiny Wilson,Female,destiny7@adventure-works.com,2023-01-23,Beaverton
11022,Ethan,Zhang,Ethan Zhang,Masculine,ethan20@adventure-works.com,2023-01-20,Bellingham
11023,Seth,Edwards,Seth Edwards,Masculine,seth46@adventure-works.com,2023-02-17,Bellflower
11024,Russell,Xie,Russell Xie,Masculine,russell7@adventure-works.com,2023-06-27,Concord
11025,Alejandro,Beck,Alejandro Beck,Masculine,alejandro45@adventure-works.com,2021-01-06,Hawthorne
11026,Harold,Sai,Harold Sai,Masculine,harold3@adventure-works.com,2021-01-23,Goulburn
11027,Jessie,Zhao,Jessie Zhao,Masculine,jessie16@adventure-works.com,2021-01-16,Warrnambool
11028,Jill,Jimenez,Jill Jimenez,Female,jill13@adventure-works.com,2021-01-26,St. Leonards
11029,Jimmy,Moreno,Jimmy Moreno,Masculine,jimmy9@adventure-works.com,2021-01-19,Bendigo
11030,Bethany,Yuan,Bethany Yuan,Female,bethany10@adventure-works.com,2021-02-05,Cloverdale
11031,Theresa,Ramos,Theresa Ramos,Female,theresa13@adventure-works.com,2021-02-01,Matraville
11032,Denise,Stone,Denise Stone,Female,denise10@adventure-works.com,2021-02-18,Melbourne
11033,Jaime,Nath,Jaime Nath,Masculine,jaime41@adventure-works.com,2021-02-15,Milsons Point
11034,Ebony,Gonzalez,Ebony Gonzalez,Female,ebony19@adventure-works.com,2021-02-01,North Sydney
11035,Wendy,Dominguez,Wendy Dominguez,Female,wendy12@adventure-works.com,2021-02-06,Cranbourne
11036,Jennifer,Russell,Jennifer Russell,Female,jennifer93@adventure-works.com,2023-01-22,National City
11037,Chloe,Garcia,Chloe Garcia,Female,chloe27@adventure-works.com,2023-01-20,Cliffside
11038,Diana,Hernandez,Diana Hernandez,Female,diana2@adventure-works.com,2021-02-07,Lavender Bay
11039,Marc,Martin,Marc Martin,Masculine,marc3@adventure-works.com,2021-02-07,Wollongong
11040,Jesse,Murphy,Jesse Murphy,Masculine,jesse15@adventure-works.com,2023-04-03,Tacoma
11041,Amanda,Carter,Amanda Carter,Female,amanda53@adventure-works.com,2023-01-14,Glendale
11042,Megan,Sanchez,Megan Sanchez,Female,megan28@adventure-works.com,2023-01-21,Los Angeles
11043,Nathan,Simmons,Nathan Simmons,Masculine,nathan11@adventure-works.com,2023-05-08,Glendale
11044,Adam,Flores,Adam Flores,Masculine,adam10@adventure-works.com,2021-02-28,Hervey Bay
11045,Leonard,Nara,Leonard Nara,Masculine,leonard18@adventure-works.com,2023-04-10,Matraville
11046,Christine,Yuan,Christine Yuan,Female,christine4@adventure-works.com,2021-02-06,Lavender Bay
11047,Jaclyn,Lu,Jaclyn Lu,Female,jaclyn12@adventure-works.com,2021-02-03,Geelong
11048,Jeremy,Powell,Jeremy Powell,Masculine,jeremy26@adventure-works.com,2021-02-10,Sunbury
11049,Carol,Rai,Carol Rai,Female,carol8@adventure-works.com,2023-03-09,Chula Vista
11050,Alan,Zheng,Alan Zheng,Masculine,alan23@adventure-works.com,2021-02-20,Hobart
11051,Daniel,Johnson,Daniel Johnson,Masculine,daniel18@adventure-works.com,2023-12-29,Caloundra
11052,Heidi,Lopez,Heidi Lopez,Female,heidi19@adventure-works.com,2021-02-17,Matraville
11053,Ana,Price,Ana Price,Female,ana0@adventure-works.com,2023-01-17,San Diego
11054,Deanna,Munoz,Deanna Munoz,Female,deanna33@adventure-works.com,2021-02-03,Geelong
11055,Gilbert,Raje,Gilbert Raje,Masculine,gilbert35@adventure-works.com,2021-01-31,East Brisbane
11056,Michele,Nath,Michele Nath,Female,michele19@adventure-works.com,2021-02-26,Newcastle
11057,Carl,Andersen,Carl Andersen,Masculine,carl12@adventure-works.com,2021-02-22,Lane Cove
11058,Marc,Diaz,Marc Diaz,Masculine,marc6@adventure-works.com,2021-03-09,Findon
11059,Ashlee,Andersen,Ashlee Andersen,Female,ashlee19@adventure-works.com,2023-02-18,Townsville
11060,Jon,Zhou,Jon Zhou,Masculine,jon28@adventure-works.com,2021-03-19,Warrnambool
11061,Todd,Gao,Todd Gao,Masculine,todd14@adventure-works.com,2021-03-13,Gold Coast
11062,Noah,Powell,Noah Powell,Masculine,noah5@adventure-works.com,2023-01-07,Portland
11063,Angela,Murphy,Angela Murphy,Female,angela41@adventure-works.com,2023-01-12,Redmond
11064,Chase,Reed,Chase Reed,Masculine,chase21@adventure-works.com,2023-01-25,Downey
11065,Jessica,Henderson,Jessica Henderson,Female,jessica29@adventure-works.com,2023-02-10,La Jolla
11066,Grace,Butler,Grace Butler,Female,grace62@adventure-works.com,2023-05-31,Lebanon
