ProductKey,Fecha de Orden,Fecha de Vencimiento,Fecha de Entrega,Llave de Cliente,NombreCompletoCliente,Numero de Orden,Monto de Venta
214,20230909,20230921,20230916,26535,Kelly Perry,SO66038,34.99
214,20230923,20231005,20230930,26537,Wyatt Perez,SO66933,34.99
214,20231101,20231113,20231108,26554,Michael Garcia,SO69810,34.99
214,20230515,20230527,20230522,26559,Marshall Ye,SO58031,34.99
214,20231206,20231218,20231213,26571,Lacey Pal,SO72490,34.99
214,20230204,20230216,20230211,26573,Samantha Clark,SO52229,34.99
214,20230616,20230628,20230623,26575,Toni Gonzalez,SO60299,34.99
214,20230601,20230613,20230608,26577,Cindy Edwards,SO59225,34.99
214,20240103,20240115,20240110,26580,Paige Ramirez,SO74315,34.99
214,20230831,20230912,20230907,26602,Noah Yang,SO65498,34.99
214,20230915,20230927,20230922,26611,Kayla Henderson,SO66421,34.99
214,20231101,20231113,20231108,26635,Jasmine Harris,SO69851,34.99
214,20230902,20230914,20230909,26638,Olivia Flores,SO65617,34.99
214,20230816,20230828,20230823,26640,Eduardo Lopez,SO64367,34.99
214,20231216,20231228,20231223,26652,Bruce Moreno,SO73238,34.99
214,20231027,20231108,20231103,26662,Lori Alvarez,SO69296,34.99
214,20230719,20230731,20230726,26675,Natalie King,SO62414,34.99
214,20230906,20230918,20230913,26684,Dustin Andersen,SO65859,34.99
214,20230526,20230607,20230602,26690,Alexia Bennett,SO58653,34.99
214,20230623,20230705,20230630,26702,Cynthia Arun,SO60708,34.99
214,20230915,20230927,20230922,26703,Wyatt Miller,SO66423,34.99
214,20230910,20230922,20230917,26708,Katherine Washington,SO66142,34.99
214,20230717,20230729,20230724,26719,Tamara Li,SO62298,34.99
214,20231024,20231105,20231031,26744,Mitchell Yuan,SO69067,34.99
214,20230220,20230304,20230227,26743,Derek Chande,SO53060,34.99
214,20231121,20231203,20231128,26761,Tabitha Prasad,SO71263,34.99
214,20230205,20230217,20230212,26807,Angel Hall,SO52300,34.99
214,20230509,20230521,20230516,26809,Julia Morgan,SO57708,34.99
214,20231215,20231227,20231222,26819,Devin Mitchell,SO73148,34.99
214,20231124,20231206,20231201,26822,Cindy Gonzalez,SO71468,34.99
214,20240112,20240124,20240119,26836,Hector Diaz,SO74612,34.99
214,20230202,20230214,20230209,26852,Karen She,SO52140,34.99
